OBJECTID,Well registration number,Well classification,Licence number,Licence operator,"Spud date, day/month/year","Water depth, m",Rig datum type,"Datum elevation, m","TD depth MD, m","TD depth TVDSS, m","TD date, day/month/year",Mechanical status,Target 1 age,Target 1 name,Reservoir 1 age,Reservoir 1 name,"Reservoir 1 gross thickness, m TVD",Reservoir 1 rock type,Reservoir 1 fluid type,"Reservoir 1 total flow period, hrs","Reservoir 1 maximum flow, bbls/day","Reservoir 1 maximum flow rate, mmcf/day","Reservoir 1 choke size at maximum flow rate, inch","Reservoir 1 total oil production, tonnes","Reservoir 1 total gas production, m3","Reservoir 1 total condensate production, m3","Reservoir 1 maximum wellhead flowing pressure, bar","Reservoir 1 maximum wellhead temperature, oC","Reservoir 1 average water cute, %",Target 2 age,Target 2 name,Reservoir 2 age,Reservoir 2 name,"Reservoir 2 gross thickness, m",Reservoir 2 rock type,Reservoir 2 fluid type,Target 3 age,Target 3 name,Reservoir 3 age,Reservoir 3 name,"Reservoir 3 gross thickness, m",Reservoir 3 rock type,Reservoir 3 fluid type,Target 4 age,Target 4 name,Reservoir 4 age,Reservoir 4 name,"Reservoir 4 gross thickness, m",Reservoir 4 rock type,Reservoir 4 fluid type,Open data,x,y
614,21/03a-H5,Appraisal,P118,CHRYSAOR PRODUCTION (U.K.) LIMITED,11/10/2024 12:00:00 AM,135.94079979337,Rotary Table,23.4695999643262,3910.58399405591,3415.58879480831,12/20/2024 12:00:00 AM,Abandoned Phase 2,Lower Cretaceous,Britannia Sandstone,Lower Cretaceous,Britannia Sandstone,34.75,Sandstone,Condensate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,0.512902778000068,57.915508333
615,C48/30- 21,Appraisal,No Data Available,BACTON CCS LIMITED,5/30/2025 12:00:00 AM,27.1,Rotary Table,47,,,,Abandoned Phase 3,Upper Triassic,Bunter Sandstone (ex. Upper Bunter Sandstone),,,,,,,,,,,,,,,,Lower Triassic,Hewett Sandstone (ex. Lower Bunter Sandstone),,,,,,,,,,,,,,,,,,,,Y,1.83628527800005,53.002987778
616,15/28b- 10,Exploration,P2522,CHRYSAOR PRODUCTION (U.K.) LIMITED,9/15/2024 12:00:00 AM,148.437599774374,Rotary Table,23.4695999643262,1993.39199697004,1946.45279704139,10/8/2024 12:00:00 AM,Abandoned Phase 3,Eocene,Cromarty Sandstone Member,Eocene,Bittern Sandstone,46.94,Sandstone,Oil and Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,0.427340833000073,58.108755
617,204/23a- 3,Exploration,P2293,BP EXPLORATION OPERATING COMPANY LIMITED,3/28/2023 12:00:00 AM,523.3,Rotary Table,32,2827,-2540.2,5/3/2023 12:00:00 AM,Abandoned Phase 2,Palaeocene,T31_2a,Palaeocene,T31.3,18,Sandstone,Water,,,,,,,,,,,Palaeocene,T31_2b,Palaeocene,T31.2,94.8,"Siltstones, Mudstones and thin cemented sands.",Oil and Gas,,,,,,,,,,,,,,,Y,-4.50535777799996,60.2444288890001
618,206/05c- 4,Exploration,P2411,TOTALENERGIES E&P UK LIMITED,3/21/2023 12:00:00 AM,346,Rotary Table,40,4397.3,4108.9,5/22/2023 12:00:00 AM,Abandoned Phase 3,Lower Cretaceous,Royal Sovereign Sandstone,Lower Cretaceous,Royal Sovereign Sandstone,550,Sandstone,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,-2.18438861099997,60.9779652780001
619,21/03d- 9,Appraisal,P2350,NEO ENERGY PETROLEUM LIMITED,7/21/2023 12:00:00 AM,145.694399778544,Rotary Table,23.4695999643262,3571.6463945711,3520.43999464893,8/20/2023 12:00:00 AM,Abandoned Phase 2,Lower Cretaceous,Britannia Sandstone,Lower Cretaceous,Britannia Sandstone,16.15,Sandstone,"Gas, Oil and Condensate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,0.529910000000029,57.9788238890001
620,21/03d- 9Y,Appraisal,P2350,NEO ENERGY PETROLEUM LIMITED,12/13/2023 12:00:00 AM,145.694399778544,Rotary Table,23.4695999643262,3496.36079468553,4224.83279357825,12/19/2023 12:00:00 AM,Abandoned Phase 2,Lower Cretaceous,Britannia Sandstone,Lower Cretaceous,Britannia Sandstone,36.27,Sandstone,"Gas, Oil and Condensate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,0.529910000000029,57.9788238890001
621,21/03d- 9Z,Appraisal,P2350,NEO ENERGY PETROLEUM LIMITED,9/4/2023 12:00:00 AM,145.694399778544,Rotary Table,23.4695999643262,4053.23039383909,3408.8831948185,9/30/2023 12:00:00 AM,Abandoned Phase 2,Lower Cretaceous,Britannia Sandstone,Lower Cretaceous,Britannia Sandstone,15.54,Sandstone,"Gas, Oil and Condensate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,0.529910000000029,57.9788238890001
622,22/14c- 10,Exploration,P2382,ITHACA ZETA LIMITED,6/11/2023 12:00:00 AM,89.6111998637909,Rotary Table,25.2983999615464,2977.8959954736,-2773.76838778387,7/19/2023 12:00:00 AM,Abandoned Phase 2,Palaeocene,Forties Sandstone Member (Sele Fm),Palaeocene,Forties Sandstone Member,14.95,Sandstone,"Gas, oil and Condensate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.67526611100004,57.6387880560001
623,22/14c- 10X,Exploration,P2382,ITHACA ZETA LIMITED,9/21/2023 12:00:00 AM,89.6111998637909,Rotary Table,25.9079999606198,,,10/12/2023 12:00:00 AM,Plugged,Palaeocene,Forties Sandstone Member (Sele Fm),Palaeocene,Upper Forties Sandstone Member,,Sandstone,"Gas, Oil, Condensate and Water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.67526611100004,57.6387880560001
